slug,status_live,content_type,category,title,venue_name,place,zone,start_date,end_date,recurrence,url,booking_url,summary,tags,visitor_appeal_score,family_friendly,hero_image_src,sitemap_exclude
red-hill-market-first-saturday,live,event,market,"Red Hill Market  -  First Saturday, Every Month",red-hill-market,red-hill,,2026-06-06,2026-06-06,monthly,https://peninsulainsider.com.au/whats-on/red-hill-market-first-saturday/,https://www.redhillmarket.com.au,"Victoria's largest artisan craft market. 200+ stalls, the whole ridge in one place, and a morning that pulls the entire Peninsula into orbit.",,,,/images/sourced/article-red-hill-saturday-01.webp,False
red-hill-truffles-winter-truffle-hunt-season,live,event,nature,Red Hill Truffles — Winter Truffle Hunt Season,Red Hill Truffles,main-ridge,,2026-05-30,2026-09-30,one-off,https://peninsulainsider.com.au/whats-on/red-hill-truffles-winter-truffle-hunt-season/,https://redhilltruffles.com/hunts,Red Hill Truffles (Mornington Peninsula's first truffle producer) offers guided public truffle hunts throughout winter. Options: Truffle Hunt & Pizza ($189pp; 3hrs); Truffle Hunt x Max's Restaurant at Red Hill Estate ($217pp; includes 2-course lunch); Truffle Hunt & Gourmet Lunch at The Epicurean Re,,,True,/images/sourced/category-producer-02.webp,False
restore-pamper-retreat-at-polperro-farmhouse,live,event,wellness,Restore & Pamper Retreat at Polperro Farmhouse,Polperro Farmhouse (Polperro Winery Estate),red-hill,,2026-05-01,2027-04-30,one-off,https://peninsulainsider.com.au/whats-on/restore-pamper-retreat-at-polperro-farmhouse/,,"Immersive 3-day 2-night wellness retreat at Polperro Farmhouse, Red Hill. Incorporates yoga (outdoor in summer; studio in winter); massage (Peninsula Hot Springs Spa Dreaming Centre or Endota Red Hill); acupressure workshop ($300 group); and Peninsula juice cleanse ($55 pp/day). Set in Polperro's bi",,,False,/images/sourced/spa-treatment-room-rose-01.webp,False
rocky-road-festival-mornington-peninsula-chocolaterie,live,event,food-wine,Rocky Road Festival – Mornington Peninsula Chocolaterie,Mornington Peninsula Chocolaterie and Ice Creamery,flinders,,2026-05-01,2026-05-31,annual,https://peninsulainsider.com.au/whats-on/rocky-road-festival-mornington-peninsula-chocolaterie/,https://www.simpletix.com/e/rocky-road-festival-tasting-session-2026-tickets-270471,"Month-long Rocky Road Festival at Mornington Peninsula Chocolaterie and Ice Creamery in Flinders. 31 limited-edition rocky road flavours throughout May 2026. Hosted tasting sessions every Sunday in May ($28pp). Free general entry with chocolate showroom and pick-and-mix. Vegan, gluten-friendly and n",,,True,/images/sourced/category-cafe-02.webp,False
rocky-road-festival-tasting-sessions,live,event,live-music,Rocky Road Festival Tasting Sessions,Mornington Peninsula Chocolaterie & Ice Creamery,flinders,,2026-05-03,2026-05-31,weekly,https://peninsulainsider.com.au/whats-on/rocky-road-festival-tasting-sessions/,https://www.simpletix.com/e/rocky-road-festival-tasting-session-2026-tickets-270471,Monthly festival at Mornington Peninsula Chocolaterie (Flinders). Sample 8 Rocky Road Festival flavours; enjoy a Rocky Road hot chocolate and ice cream; then create your own rocky road to take home. Every Sunday in May at 11am / 12pm / 1.30pm sessions. Limited spots.,,,True,/images/sourced/category-producer-03.webp,False
shoreham-community-market,live,event,market,Shoreham Community Market,Shoreham Tennis Club Reserve,shoreham,,2026-05-17,2026-05-17,monthly,https://peninsulainsider.com.au/whats-on/shoreham-community-market/,,"A simple, locally run monthly market celebrating community, connection and creation. Located next to Shoreham Tennis Club. Features arts, crafts, music, food and community activities. Yoga classes and children's activities also available on-site. Dog-friendly.",,,True,/images/sourced/article-picnic-01.webp,False
soil-cellar-flinders-truffles-x-polperro-winery,live,event,food-wine,Soil & Cellar: Flinders Truffles x Polperro Winery,Flinders Truffles (hunt) / Polperro Winery Restaurant (dinner),,,2026-07-25,2026-07-25,one-off,https://peninsulainsider.com.au/whats-on/soil-cellar-flinders-truffles-x-polperro-winery/,,"Two-part winter experience: guided truffle hunt at Flinders Truffles farm (1900 Mornington-Flinders Road, Flinders) from 2pm–5pm; followed by a truffle-matched dinner with matched Polperro wines at Polperro Winery Restaurant from 6:30pm. Collaboration between Flinders Truffles and winemaker Sam Cove",,,False,,False
songs-of-dreams-and-destiny,live,event,arts,Songs of Dreams and Destiny,,mornington,,2026-05-31,2026-05-31,one-off,https://peninsulainsider.com.au/whats-on/songs-of-dreams-and-destiny/,https://www.mornpen.vic.gov.au/Events-Activities/Songs-of-Dreams-and-Destiny,"An afternoon concert at Peninsula Community Theatre, Mornington — choral and orchestral programming, 2:30pm to 4:15pm.",,,,/images/sourced/explore-mornington-foreshore-01.webp,False
sorrento-solstice-festival-2026,live,event,festival,Sorrento Solstice Festival 2026,Sorrento Village and Foreshore,sorrento,,2026-06-20,2026-06-21,one-off,https://peninsulainsider.com.au/whats-on/sorrento-solstice-festival-2026/,https://events.humanitix.com/sorrento-solstice-festival,Free annual winter solstice festival on Sorrento Foreshore. Two stages of live music and DJs. Fire performers and 6-metre handcrafted burning effigy on the bay at 6:30pm. Illuminated lantern path. Projection art on historic buildings. Food trucks. Local producers beer and wine. Silent disco. Sound h,,,True,,False
sorrento-solstice-festival-fire-night,live,event,festival,Sorrento Solstice Festival (Fire Night),Sorrento Foreshore,sorrento,,2026-06-20,2026-06-20,annual,https://peninsulainsider.com.au/whats-on/sorrento-solstice-festival-fire-night/,https://sorrentosolstice.com.au,"Free all-ages community festival on the Sorrento Foreshore celebrating the winter solstice. Centrepiece is the ceremonial burning of a handcrafted 6-metre effigy ('Bernie') at 6:30 pm on the bay. Includes fire and light installations, acoustic and main stage music, illuminated Australian animal lant",,5,True,,False
sorrento-writers-festival-2026,live,event,writers-ideas,Sorrento Writers Festival 2026,,sorrento,,2026-04-23,2026-04-26,annual,https://peninsulainsider.com.au/whats-on/sorrento-writers-festival-2026/,https://sorrentowritersfestival.com.au,Four days of Australia's sharpest writers in a weatherboard village at the tip of the Peninsula  -  the one festival worth planning a whole weekend around.,,,,/images/sourced/explore-mprg-01.webp,False
soul-night-market-mornington,live,event,market,Soul Night Market – Mornington,Peninsula Community Theatre,mornington,,2026-06-12,2026-06-12,monthly,https://peninsulainsider.com.au/whats-on/soul-night-market-mornington/,,"Evening street food and makers market at Peninsula Community Theatre precinct, Mornington. Features local food vendors, artisan makers, live music.",,,True,,False
soul-night-market-sorrento-beach,live,event,market,Soul Night Market – Sorrento Beach,Sorrento Beach,sorrento,,2026-05-22,2026-05-22,monthly,https://peninsulainsider.com.au/whats-on/soul-night-market-sorrento-beach/,,"Evening street food and makers market on Sorrento Beach. Features local food stalls, artisan makers, night atmosphere on the foreshore. Monthly during warmer months.",,,True,,False
sound-circle-full-moon-sound-journey-at-peninsula-hot-springs,live,event,wellness,Sound Circle — Full Moon Sound Journey at Peninsula Hot Springs,Peninsula Hot Springs (Wellness Studio),,,2026-05-01,2027-04-30,monthly,https://peninsulainsider.com.au/whats-on/sound-circle-full-moon-sound-journey-at-peninsula-hot-springs/,https://www.eventbrite.com.au/e/sound-circle-full-moon-sound-journey-at-peninsula-hot-springs-tickets-1967238998802,Deeply relaxing full moon sound journey at Peninsula Hot Springs Wellness Studio; followed by geothermal hot springs bathing. $150 all-inclusive: sound journey (approx 90 min); grounding with superfood balls and herbal tea; geothermal hot springs access from 12pm. Hosted by Sound Circle (Lucy Ennis),,,False,/images/sourced/spa-peninsula-hot-springs-hilltop-01.webp,False
stonier-fire-wine-winter-lunch,live,event,food-wine,Stonier Fire & Wine Winter Lunch,Stonier Wines,merricks,,2026-08-09,2026-08-09,annual,https://peninsulainsider.com.au/whats-on/stonier-fire-wine-winter-lunch/,,Stonier's annual winter party luncheon with food cooked over the coals and new release wines. Expect fires; live performances; masterclasses and winery tours. Chef for 2026 not yet announced (previous editions: MoVida; Farmer's Daughters). Always sells out quickly. Discounted tickets for KBS Wine Cl,,,False,,False
stonier-pies-pinot-king-s-birthday-weekend,live,event,cellar-door,Stonier Pies & Pinot (King's Birthday Weekend),Stonier Wines,merricks,,2026-06-06,2026-06-08,annual,https://peninsulainsider.com.au/whats-on/stonier-pies-pinot-king-s-birthday-weekend/,,Annual revival of the Stonier tradition: Pinot Noir duck pies; Chardonnay chicken pies; Chardonnay mushroom & tarragon pies made by Millers Bread Kitchen / Peninsula Backhouse. Available all weekend alongside new release 2025 Pinot Noir. See you by the fire. No bookings required.,,,True,/images/sourced/category-winery-06.webp,False
stonier-vineyard-tours-new-release-pinot-tasting,live,event,food-wine,Stonier Vineyard Tours & New Release Pinot Tasting,Stonier Wines,merricks,,2026-06-07,2026-06-08,one-off,https://peninsulainsider.com.au/whats-on/stonier-vineyard-tours-new-release-pinot-tasting/,,Winemakers and owners host pre-booked vineyard tours and in-depth tastings of the new release 2025 Pinot Noir over the King's Birthday Weekend. Four sessions across Sunday 7 June and Monday 8 June. A rare opportunity to see the property with the people who farm it and taste the 2025 vintage on its f,,,False,/images/sourced/category-winery-08.webp,False
sunny-ridge-strawberry-picking,live,event,family-programs,Sunny Ridge Strawberry Farm  -  School Holiday Picking,sunny-ridge-strawberry-farm,main-ridge,,2026-04-10,2026-04-27,seasonal,https://peninsulainsider.com.au/whats-on/sunny-ridge-strawberry-picking/,https://sunnyridge.com.au,"The Peninsula's most reliably kid-proof outing. Rows of strawberries, a tractor ride, a box to fill, and a cafe that deals in volume at the other end.",,,,/images/sourced/category-producer-03.webp,False
sustainable-house-day-2026,live,event,community,Sustainable House Day 2026,,mornington,,2026-05-17,2026-05-17,annual,https://peninsulainsider.com.au/whats-on/sustainable-house-day-2026/,https://sustainablehouseday.com/,"Multiple Peninsula homes open to the public — Bittern, Safety Beach, Rye, plus the Eco Living Display Centre at The Briars.",,,,/images/sourced/place-safety-beach-01.webp,False
tall-poppy-melbourne-design-week-exhibition,live,event,exhibition,"Tall Poppy, the first Melbourne Design Week exhibition on the Peninsula",Kelli Lundberg Art @ The Studio & Co.,,,2026-04-29,2026-06-07,one-off,https://peninsulainsider.com.au/whats-on/tall-poppy-melbourne-design-week-exhibition/,,"Fifteen Australian designers and makers, curated by Tiffany Jade, at Kelli Lundberg Art in Moorooduc. The exhibition the gallery believes is the first time NGV's Melbourne Design Week has programmed on the Mornington Peninsula. 29 April to 7 June, free entry.",,4,False,,False
ten-minutes-by-tractor-terroir-masterclass,live,event,food-wine,Ten Minutes by Tractor — Terroir Masterclass,Ten Minutes by Tractor Cellar Door,main-ridge,,2026-05-01,2027-04-30,one-off,https://peninsulainsider.com.au/whats-on/ten-minutes-by-tractor-terroir-masterclass/,https://www.tenminutesbytractor.com.au/Experiences/Terroir-Masterclass,Intimate one-hour masterclass in the private tasting room exploring the unique terroir of the sub-regional Mornington Peninsula. Covers vineyard sites; individual characteristics; history of TMBT; and the region's cool-climate conditions for Pinot Noir and Chardonnay. Includes eight wines: two limit,,,False,/images/sourced/category-restaurant-03.webp,False
the-bloody-long-walk-mornington-peninsula-2026,live,event,racing-sport,The Bloody Long Walk – Mornington Peninsula 2026,Point Nepean National Park (Quarantine Station start),portsea,,2026-10-25,2026-10-25,one-off,https://peninsulainsider.com.au/whats-on/the-bloody-long-walk-mornington-peninsula-2026/,https://www.bloodylongwalk.com.au/lp/mornington-peninsula/,35km scenic charity walk from Point Nepean National Park Quarantine Station to Martha Cove Marina. Raises funds for Mito (mitochondrial disease research). Walk jog or run. Spectacular coastal scenery. Limited spots.,,,False,,False
the-enchanted-market-at-the-briars,live,event,market,The Enchanted Market at The Briars,The Briars,mount-martha,,2026-05-31,2026-05-31,one-off,https://peninsulainsider.com.au/whats-on/the-enchanted-market-at-the-briars/,,"Vibrant family-friendly market in the scenic Briars nature reserve at Mount Martha. Showcases homemade and homegrown goods, regional produce and handcrafted items from passionate stallholders. Set in a wildlife reserve with walking trails, boardwalks and native wildlife.",,,True,,False
tootgarook-primary-school-market,live,event,market,Tootgarook Primary School Market,Tootgarook Primary School,,,2026-05-23,2026-05-23,monthly,https://peninsulainsider.com.au/whats-on/tootgarook-primary-school-market/,,Family-friendly market run by Tootgarook Primary School. 250 stalls with something for everyone. Held on the 4th Saturday of the month. Raises funds for the primary school.,,5,True,,False
trace-duo-exhibition-at-lander-se,live,event,exhibition,TRACE Duo Exhibition at Lander-Se,Lander-Se,,,2026-04-25,2026-05-31,one-off,https://peninsulainsider.com.au/whats-on/trace-duo-exhibition-at-lander-se/,,Duo exhibition at Lander-Se gallery on the Mornington Peninsula. Two artists presenting works in dialogue. Gallery open regular hours.,,,True,,False
trace-duo-exhibition,live,event,exhibition,'TRACE' Duo Exhibition,Lander—Se Gallery,,,2026-04-25,2026-05-31,seasonal,https://peninsulainsider.com.au/whats-on/trace-duo-exhibition/,,Duo exhibition by two artists at Lander—Se gallery. Runs daily except Tuesdays and Wednesdays. Exhibition overlaps with May 2026 window.,,2,True,,False
wild-mushroom-forage-lunch-with-the-kitchen,live,event,food-wine,Wild Mushroom Forage & Lunch with The Kitchen,Red Hill & Main Ridge forests,,,2026-05-09,2026-05-30,weekly,https://peninsulainsider.com.au/whats-on/wild-mushroom-forage-lunch-with-the-kitchen/,,"Guided wild mushroom foraging through the forests of Red Hill and Main Ridge. Led by an experienced guide (15+ years autumn foraging). Learn to identify two edible wild mushrooms found locally; responsible harvesting; forest cook-up: butter, herbs, warm pan, good bread. Max 15 participants per sessi",,,False,/images/sourced/category-producer-01.webp,False
winter-camp-2026-the-ranch,live,event,family-programs,Winter Camp 2026 – The Ranch,The Ranch Mornington Peninsula,,,2026-06-30,2026-07-02,annual,https://peninsulainsider.com.au/whats-on/winter-camp-2026-the-ranch/,https://www.theranchmp.com.au/camps-holiday-programs/holiday-camp/,"Three-day residential winter holiday camp at The Ranch Mornington Peninsula. For young adventurers (ages 8+). Activities: mountainboarding, giant swing, flying fox, horse riding, bush cooking, night hike under the stars. Residential camp in snug cabins with hearty meals. Focus on wellbeing, resilien",,,True,/images/sourced/article-kids-peninsula-01.webp,False
winter-wine-weekend-full-3-day-peninsula-program,live,event,food-wine,Winter Wine Weekend — Full 3-Day Peninsula Program,Various wineries across Mornington Peninsula,,,2026-06-06,2026-06-08,annual,https://peninsulainsider.com.au/whats-on/winter-wine-weekend-full-3-day-peninsula-program/,,The full three-day King's Birthday Winter Wine Weekend (Sat 6 – Mon 8 June 2026). Saturday features the Winter Wine Festival at Red Hill Showgrounds ($90 general admission). Sunday and Monday involve self-guided cellar door visits; long lunches; masterclasses and special events across dozens of wine,,,False,/images/sourced/category-winery-02.webp,False
winter-wine-weekend-june,live,event,cellar-door,Mornington Peninsula Winter Wine Weekend,,red-hill,,2026-06-06,2026-06-08,annual,https://peninsulainsider.com.au/whats-on/winter-wine-weekend-june/,https://www.mpva.com.au,"The region's winter cellar-door weekend  -  fires lit, whites cellared, and the one time of year you can walk into the top 20 wineries without an appointment.",,,,/images/sourced/wine-hub-hero-01.webp,False
winter-wine-weekend-winter-wine-festival-red-hill-showgrounds,live,event,food-wine,Winter Wine Weekend — Winter Wine Festival (Red Hill Showgrounds),Red Hill Showgrounds,red-hill,,2026-06-06,2026-06-06,annual,https://peninsulainsider.com.au/whats-on/winter-wine-weekend-winter-wine-festival-red-hill-showgrounds/,https://events.humanitix.com/winter-wine-festival,Centrepiece of the Mornington Peninsula Winter Wine Weekend. Held at the Pavilions of Red Hill Showgrounds over the King's Birthday long weekend. Taste 35+ Mornington Peninsula wineries and 150+ wines in one place. Ticket includes Riedel tasting glass and all wine tastings. Masterclass upgrade avail,,,False,,False
youth-services-school-holiday-program,live,event,family-programs,Youth Services School Holiday Program,Multiple Youth Hubs: Shed 11 (Hastings); The Corner (Mornington); Y Lounge (Rosebud); Somerville Rec Centre,,,2026-07-01,2026-07-10,ongoing,https://peninsulainsider.com.au/whats-on/youth-services-school-holiday-program/,,"Free school holiday program for young people aged 10–17 at three Youth Hubs across the peninsula. Led by qualified youth workers. Daily activities including free wifi, video games, pool tables, art supplies, games and food. Weekly excursions with limited places (expression of interest required). Ope",,,True,,False
